Company_name,Contact_email,Floors,Appartements,Basement,Elevators,Shops,Parkings,Occupants,ActiveHours,Companies,Totalelevators,Quality,TotalPrice,quote_date
Abshire-Hintz,abeare7@instagram.com,64,,18,,,714,288,11,14,24,Premium,296280,1/17/2018
"Schneider, Douglas and D'Amore",aprestner8@cocolog-nifty.com,168,,14,,,883,212,16,25,12,Standard,90780,1/12/2018
"Bogisich, Bartoletti and Wuckert",sbranford9@mysql.com,148,,9,,,526,191,10,20,23,Standard,173995,10/30/2017
Walker-Stokes,anowella@ucla.edu,179,,17,,,955,133,21,17,7,Premium,86415,9/2/2018
Adams and Sons,mcianellib@si.edu,186,,14,,,483,188,8,30,2,Premium,24690,4/23/2018
Orn-Wehner,acoolsonc@google.com.hk,83,,16,,,999,257,14,20,1,Excelium,15400,12/14/2017
Lockman and Sons,rkeynesd@goo.ne.jp,90,,11,,,333,231,19,29,13,Standard,98345,9/9/2018
Reynolds-Streich,ringlesee@redcross.org,164,,8,,,917,277,9,17,9,Excelium,138600,8/11/2018
"Predovic, Wiegand and Gleichner",bscollandf@meetup.com,66,,19,,,981,182,17,13,2,Excelium,30800,11/29/2017
"Hayes, Lowe and Nikolaus",bgoldsberryg@acquirethisname.com,94,,10,,,910,291,16,17,8,Premium,98760,11/2/2017
"Blanda, Bednar and Mann",sfinnanh@phpbb.com,164,,15,,,662,164,24,19,12,Excelium,184800,7/9/2018
Kirlin-Farrell,wkeddlei@google.ru,191,,18,,,303,102,15,11,14,Standard,105910,11/13/2017
Christiansen Group,lschieferstenj@sogou.com,255,,5,,,959,212,14,14,23,Excelium,354200,3/29/2018
Schmeler-Witting,mthurley0@phpbb.com,55,,19,10,662,,,,,10,Standard,75650,2/2/2018
Collins Inc,lechallie1@exblog.jp,3,,1,71,403,,,,,71,Excelium,1093400,7/26/2018
Raynor Inc,wbartlet2@adobe.com,289,,20,51,104,,,,,51,Premium,629595,5/22/2018
Predovic and Sons,zmayo3@msn.com,1,,1,22,858,,,,,22,Excelium,338800,3/12/2018
Nitzsche and Sons,hmacnair4@domainmarket.com,228,,15,71,648,,,,,71,Premium,876495,8/16/2018
"Renner, Streich and Osinski",bklees5@seesaa.net,228,,3,89,292,,,,,89,Premium,1098705,11/26/2017
"West, Wolff and Crist",jduddy6@japanpost.jp,203,,20,26,395,,,,,26,Excelium,400400,8/27/2018
Morar LLC,lsperski7@mac.com,173,,2,22,383,,,,,22,Standard,166430,6/28/2018
Upton-Feest,ofettis8@dyndns.org,296,,17,21,293,,,,,21,Excelium,323400,6/21/2018
Kutch and Sons,sjosling9@instagram.com,128,,7,20,168,,,,,20,Excelium,308000,11/5/2017
Schaefer-Keeling,mculshawa@ftc.gov,222,,2,20,450,,,,,20,Standard,151300,7/9/2018
Bergnaum and Sons,kbarnsdaleb@princeton.edu,300,,1,70,297,,,,,70,Standard,529550,5/22/2018
Roberts-Wiegand,tbuggc@theglobeandmail.com,251,,15,89,82,,,,,89,Premium,1098705,9/8/2018
Bechtelar Group,rbangled@facebook.com,280,,7,74,766,,,,,74,Excelium,1139600,11/6/2017
"Jacobs, Fahey and Dibbert",jkordae@cbc.ca,232,,18,16,308,,,,,16,Excelium,246400,11/7/2017
"Schneider, Larson and Mayert",awilloughwayf@t.co,265,,11,48,96,,,,,48,Standard,363120,11/12/2017
Schinner and Sons,acarpg@dailymotion.com,34,,18,57,702,,,,,57,Excelium,877800,9/27/2018
Smith and Sons,sbeath@dell.com,39,,4,36,509,,,,,36,Excelium,554400,1/22/2018
"Friesen, Kuphal and Bernhard",wfewi@ibm.com,137,,11,13,821,,,,,13,Premium,160485,6/27/2018
Denesik Inc,lpierrij@cocolog-nifty.com,186,,19,29,243,,,,,29,Premium,358005,12/29/2017
Oberbrunner-Kunze,jbottrill0@nhs.uk,143,,5,,,810,255,,24,17,Premium,209865,7/11/2018
"Pfeffer, Collier and Nitzsche",dsorbie1@auda.org.au,222,,19,,,569,297,,11,11,Premium,135795,4/15/2018
"Doyle, Daugherty and Grady",nfetherstone2@opera.com,42,,6,,,749,239,,24,16,Premium,197520,3/2/2018
"O'Connell, Anderson and Boyer",dsewall3@theguardian.com,67,,6,,,409,158,,17,1,Premium,12345,6/16/2018
Blick-Ryan,handrzejewski4@nps.gov,176,,15,,,895,211,,21,4,Premium,49380,6/15/2018
"Fahey, Lueilwitz and Morar",glefwich5@yale.edu,132,,18,,,789,187,,21,21,Premium,259245,2/4/2018
"Brekke, Lowe and Miller",elello6@miibeian.gov.cn,123,,15,,,670,164,,30,17,Excelium,261800,4/24/2018
Weissnat-Hintz,trubertis7@nasa.gov,152,,17,,,449,235,,27,29,Standard,219385,2/14/2018
"Lynch, Runolfsson and Bechtelar",aosuaird8@tumblr.com,64,,18,,,734,271,,24,5,Standard,37825,11/18/2017
Grimes LLC,psouthwell9@bigcartel.com,149,,8,,,503,265,,16,19,Premium,234555,10/16/2017
Kilback Group,bwallsa@ebay.co.uk,262,,5,,,828,153,,21,29,Standard,219385,7/16/2018
Purdy and Sons,wrobertisb@linkedin.com,191,,10,,,489,297,,29,25,Excelium,385000,10/14/2017
Schamberger LLC,lgryglewskic@tumblr.com,228,,8,,,632,277,,24,20,Excelium,308000,8/28/2018
Gottlieb-Konopelski,pfloyedd@tripod.com,267,,19,,,371,106,,14,20,Excelium,308000,11/28/2017
Hagenes Group,fslingere@dailymotion.com,137,,20,,,846,230,,10,28,Excelium,431200,4/30/2018
"Hermann, Cremin and Carroll",ndungeyf@cbc.ca,173,,15,,,317,143,,30,28,Excelium,431200,1/26/2018
Pfeffer-Halvorson,afriedenbachg@tinypic.com,292,,19,,,767,275,,26,1,Excelium,15400,3/28/2018
Grady-Anderson,ifieldgateh@prnewswire.com,117,,20,,,713,175,,14,16,Excelium,246400,12/5/2017
Walker LLC,rbernardoti@ebay.com,218,,11,,,859,176,,29,5,Premium,61725,1/27/2018
"Dare, Nader and Erdman",mtysallj@a8.net,179,,14,,,318,237,,11,16,Standard,121040,12/29/2017
